refArea,Number of cases,disease,refPeriod
Beqaa Valley,137,Mumps,01-2015
Beqaa Valley,73,Mumps,02-2015
Beqaa Valley,156,Mumps,03-2015
Beqaa Valley,113,Mumps,04-2015
Beqaa Valley,109,Mumps,05-2015
Beqaa Valley,85,Mumps,06-2015
Beqaa Valley,35,Mumps,07-2015
Beqaa Valley,16,Mumps,08-2015
Beqaa Valley,7,Mumps,09-2015
Beqaa Valley,3,Mumps,10-2015
Beqaa Valley,7,Mumps,11-2015
Beqaa Valley,8,Mumps,12-2015
South Governorate,3,Mumps,01-2015
South Governorate,1,Mumps,02-2015
South Governorate,3,Mumps,03-2015
South Governorate,11,Mumps,04-2015
South Governorate,16,Mumps,05-2015
South Governorate,42,Mumps,06-2015
South Governorate,41,Mumps,07-2015
South Governorate,19,Mumps,08-2015
South Governorate,7,Mumps,09-2015
South Governorate,7,Mumps,10-2015
South Governorate,20,Mumps,11-2015
South Governorate,35,Mumps,12-2015
Beirut,0,Mumps,01-2015
Beirut,2,Mumps,02-2015
Beirut,1,Mumps,03-2015
Beirut,1,Mumps,04-2015
Beirut,1,Mumps,05-2015
Beirut,6,Mumps,06-2015
Beirut,6,Mumps,07-2015
Beirut,3,Mumps,08-2015
Beirut,3,Mumps,09-2015
Beirut,2,Mumps,10-2015
Beirut,0,Mumps,11-2015
Beirut,2,Mumps,12-2015
North Lebanon,74,Mumps,01-2015
North Lebanon,36,Mumps,02-2015
North Lebanon,70,Mumps,03-2015
North Lebanon,45,Mumps,04-2015
North Lebanon,32,Mumps,05-2015
North Lebanon,23,Mumps,06-2015
North Lebanon,11,Mumps,07-2015
North Lebanon,1,Mumps,08-2015
North Lebanon,1,Mumps,09-2015
North Lebanon,0,Mumps,10-2015
North Lebanon,2,Mumps,11-2015
North Lebanon,0,Mumps,12-2015
Nabatieh Governorate,0,Mumps,01-2015
Nabatieh Governorate,1,Mumps,02-2015
Nabatieh Governorate,1,Mumps,03-2015
Nabatieh Governorate,4,Mumps,04-2015
Nabatieh Governorate,8,Mumps,05-2015
Nabatieh Governorate,8,Mumps,06-2015
Nabatieh Governorate,14,Mumps,07-2015
Nabatieh Governorate,7,Mumps,08-2015
Nabatieh Governorate,5,Mumps,09-2015
Nabatieh Governorate,1,Mumps,10-2015
Nabatieh Governorate,20,Mumps,11-2015
Nabatieh Governorate,5,Mumps,12-2015
Mount Lebanon,6,Mumps,01-2015
Mount Lebanon,5,Mumps,02-2015
Mount Lebanon,11,Mumps,03-2015
Mount Lebanon,23,Mumps,04-2015
Mount Lebanon,14,Mumps,05-2015
Mount Lebanon,18,Mumps,06-2015
Mount Lebanon,10,Mumps,07-2015
Mount Lebanon,8,Mumps,08-2015
Mount Lebanon,7,Mumps,09-2015
Mount Lebanon,3,Mumps,10-2015
Mount Lebanon,3,Mumps,11-2015
Mount Lebanon,1,Mumps,12-2015
Nabatieh Governorate,3,Mumps,01-2016
Nabatieh Governorate,0,Mumps,02-2016
Nabatieh Governorate,1,Mumps,03-2016
Nabatieh Governorate,4,Mumps,04-2016
Nabatieh Governorate,1,Mumps,05-2016
Nabatieh Governorate,1,Mumps,06-2016
Nabatieh Governorate,0,Mumps,07-2016
Nabatieh Governorate,1,Mumps,08-2016
Nabatieh Governorate,0,Mumps,09-2016
Nabatieh Governorate,2,Mumps,10-2016
Nabatieh Governorate,3,Mumps,11-2016
Nabatieh Governorate,0,Mumps,12-2016
Mount Lebanon,1,Mumps,01-2016
Mount Lebanon,5,Mumps,02-2016
Mount Lebanon,6,Mumps,03-2016
Mount Lebanon,1,Mumps,04-2016
Mount Lebanon,8,Mumps,05-2016
Mount Lebanon,15,Mumps,06-2016
Mount Lebanon,1,Mumps,07-2016
Mount Lebanon,6,Mumps,08-2016
Mount Lebanon,1,Mumps,09-2016
Mount Lebanon,7,Mumps,10-2016
Mount Lebanon,1,Mumps,11-2016
Mount Lebanon,5,Mumps,12-2016
North Lebanon,2,Mumps,01-2016
North Lebanon,0,Mumps,02-2016
North Lebanon,2,Mumps,03-2016
North Lebanon,2,Mumps,04-2016
North Lebanon,2,Mumps,05-2016
North Lebanon,2,Mumps,06-2016
North Lebanon,0,Mumps,07-2016
North Lebanon,1,Mumps,08-2016
North Lebanon,0,Mumps,09-2016
North Lebanon,1,Mumps,10-2016
North Lebanon,0,Mumps,11-2016
North Lebanon,0,Mumps,12-2016
Beirut,1,Mumps,01-2016
Beirut,0,Mumps,02-2016
Beirut,0,Mumps,03-2016
Beirut,1,Mumps,04-2016
Beirut,2,Mumps,05-2016
Beirut,0,Mumps,06-2016
Beirut,0,Mumps,07-2016
Beirut,0,Mumps,08-2016
Beirut,0,Mumps,09-2016
Beirut,1,Mumps,10-2016
Beirut,1,Mumps,11-2016
Beirut,1,Mumps,12-2016
Beqaa Valley,4,Mumps,01-2016
Beqaa Valley,8,Mumps,02-2016
Beqaa Valley,22,Mumps,03-2016
Beqaa Valley,84,Mumps,04-2016
Beqaa Valley,17,Mumps,05-2016
Beqaa Valley,16,Mumps,06-2016
Beqaa Valley,1,Mumps,07-2016
Beqaa Valley,3,Mumps,08-2016
Beqaa Valley,1,Mumps,09-2016
Beqaa Valley,1,Mumps,10-2016
Beqaa Valley,5,Mumps,11-2016
Beqaa Valley,0,Mumps,12-2016
Beirut,1,Mumps,01-2017
Beirut,2,Mumps,02-2017
Beirut,0,Mumps,03-2017
Beirut,3,Mumps,04-2017
Beirut,1,Mumps,05-2017
Beirut,2,Mumps,06-2017
Beirut,0,Mumps,07-2017
Beirut,4,Mumps,08-2017
Beirut,0,Mumps,09-2017
Beirut,0,Mumps,10-2017
Beirut,3,Mumps,11-2017
Beirut,0,Mumps,12-2017
Beqaa Valley,3,Mumps,01-2017
Beqaa Valley,2,Mumps,02-2017
Beqaa Valley,2,Mumps,03-2017
Beqaa Valley,6,Mumps,04-2017
Beqaa Valley,1,Mumps,05-2017
Beqaa Valley,6,Mumps,06-2017
Beqaa Valley,1,Mumps,07-2017
Beqaa Valley,3,Mumps,08-2017
Beqaa Valley,3,Mumps,09-2017
Beqaa Valley,2,Mumps,10-2017
Beqaa Valley,0,Mumps,11-2017
Beqaa Valley,4,Mumps,12-2017
South Governorate,1,Mumps,01-2017
South Governorate,4,Mumps,02-2017
South Governorate,57,Mumps,03-2017
South Governorate,5,Mumps,04-2017
South Governorate,35,Mumps,05-2017
South Governorate,7,Mumps,06-2017
South Governorate,0,Mumps,07-2017
South Governorate,0,Mumps,08-2017
South Governorate,0,Mumps,09-2017
South Governorate,3,Mumps,10-2017
South Governorate,6,Mumps,11-2017
South Governorate,0,Mumps,12-2017
North Lebanon,1,Mumps,01-2017
North Lebanon,1,Mumps,02-2017
North Lebanon,0,Mumps,03-2017
North Lebanon,0,Mumps,04-2017
North Lebanon,0,Mumps,05-2017
North Lebanon,0,Mumps,06-2017
North Lebanon,0,Mumps,07-2017
North Lebanon,0,Mumps,08-2017
North Lebanon,0,Mumps,09-2017
North Lebanon,0,Mumps,10-2017
North Lebanon,0,Mumps,11-2017
North Lebanon,0,Mumps,12-2017
Nabatieh Governorate,0,Mumps,01-2017
Nabatieh Governorate,0,Mumps,02-2017
Nabatieh Governorate,0,Mumps,03-2017
Nabatieh Governorate,2,Mumps,04-2017
Nabatieh Governorate,0,Mumps,05-2017
Nabatieh Governorate,0,Mumps,06-2017
Nabatieh Governorate,0,Mumps,07-2017
Nabatieh Governorate,0,Mumps,08-2017
Nabatieh Governorate,0,Mumps,09-2017
Nabatieh Governorate,1,Mumps,10-2017
Nabatieh Governorate,1,Mumps,11-2017
Nabatieh Governorate,2,Mumps,12-2017
Mount Lebanon,3,Mumps,01-2017
Mount Lebanon,2,Mumps,02-2017
Mount Lebanon,3,Mumps,03-2017
Mount Lebanon,5,Mumps,04-2017
Mount Lebanon,6,Mumps,05-2017
Mount Lebanon,3,Mumps,06-2017
Mount Lebanon,2,Mumps,07-2017
Mount Lebanon,3,Mumps,08-2017
Mount Lebanon,3,Mumps,09-2017
Mount Lebanon,4,Mumps,10-2017
Mount Lebanon,3,Mumps,11-2017
Mount Lebanon,3,Mumps,12-2017
Beirut,1,Mumps,01-2018
Beirut,1,Mumps,02-2018
Beirut,1,Mumps,03-2018
Beirut,0,Mumps,04-2018
Beirut,0,Mumps,05-2018
Beirut,1,Mumps,06-2018
Beirut,2,Mumps,07-2018
Beirut,0,Mumps,08-2018
Beirut,1,Mumps,09-2018
Beirut,1,Mumps,10-2018
Beirut,0,Mumps,11-2018
Beirut,0,Mumps,12-2018
Nabatieh Governorate,0,Mumps,01-2018
Nabatieh Governorate,0,Mumps,02-2018
Nabatieh Governorate,2,Mumps,03-2018
Nabatieh Governorate,0,Mumps,04-2018
Nabatieh Governorate,1,Mumps,05-2018
Nabatieh Governorate,0,Mumps,06-2018
Nabatieh Governorate,2,Mumps,07-2018
Nabatieh Governorate,0,Mumps,08-2018
Nabatieh Governorate,2,Mumps,09-2018
Nabatieh Governorate,0,Mumps,10-2018
Nabatieh Governorate,0,Mumps,11-2018
Nabatieh Governorate,0,Mumps,12-2018
North Lebanon,1,Mumps,01-2018
North Lebanon,0,Mumps,02-2018
North Lebanon,1,Mumps,03-2018
North Lebanon,0,Mumps,04-2018
North Lebanon,0,Mumps,05-2018
North Lebanon,2,Mumps,06-2018
North Lebanon,0,Mumps,07-2018
North Lebanon,0,Mumps,08-2018
North Lebanon,0,Mumps,09-2018
North Lebanon,1,Mumps,10-2018
North Lebanon,1,Mumps,11-2018
North Lebanon,0,Mumps,12-2018
South Governorate,5,Mumps,01-2018
South Governorate,2,Mumps,02-2018
South Governorate,2,Mumps,03-2018
South Governorate,1,Mumps,04-2018
South Governorate,1,Mumps,05-2018
South Governorate,0,Mumps,06-2018
South Governorate,0,Mumps,07-2018
South Governorate,1,Mumps,08-2018
South Governorate,2,Mumps,09-2018
South Governorate,4,Mumps,10-2018
South Governorate,1,Mumps,11-2018
South Governorate,1,Mumps,12-2018
Mount Lebanon,3,Mumps,01-2018
Mount Lebanon,2,Mumps,02-2018
Mount Lebanon,3,Mumps,03-2018
Mount Lebanon,2,Mumps,04-2018
Mount Lebanon,7,Mumps,05-2018
Mount Lebanon,1,Mumps,06-2018
Mount Lebanon,5,Mumps,07-2018
Mount Lebanon,0,Mumps,08-2018
Mount Lebanon,4,Mumps,09-2018
Mount Lebanon,9,Mumps,10-2018
Mount Lebanon,6,Mumps,11-2018
Mount Lebanon,0,Mumps,12-2018
Beqaa Valley,3,Mumps,01-2018
Beqaa Valley,4,Mumps,02-2018
Beqaa Valley,4,Mumps,03-2018
Beqaa Valley,3,Mumps,04-2018
Beqaa Valley,1,Mumps,05-2018
Beqaa Valley,1,Mumps,06-2018
Beqaa Valley,9,Mumps,07-2018
Beqaa Valley,2,Mumps,08-2018
Beqaa Valley,1,Mumps,09-2018
Beqaa Valley,3,Mumps,10-2018
Beqaa Valley,0,Mumps,11-2018
Beqaa Valley,0,Mumps,12-2018
